"Name","Resident Jobs"
"Description","Industry number and percentages refer to the total and share of workers (aged 16 and over) in an industry, by the residence of the jobholder. CCC generated 5-year estimates and coded this variable to correspond with broader categories outlined by the <a href=""https://www.naics.com/naics-code-description/"" target=""_blank"">North American Industry Classification System</a>.&nbsp;<br />
<br />
""Management and Professional Services"" includes workers in Legal Services, Scientific Research and Development, Architectural and Engineering Services, and other professions which tend to require advanced degrees or certificates.<br />
<br />
""Other Services"" includes workers in Auto Repair and Maintenance, Barber Shops, Beauty Salons, and Religious Organizations, among others.<br />
Morrisania,"Hospitality, Accommodation, Restaurants",2020,Number,3649.78544,203
Concourse/Highbridge,"Hospitality, Accommodation, Restaurants",2020,Number,7295,204
University Heights,"Hospitality, Accommodation, Restaurants",2020,Number,8085,205
East Tremont,"Hospitality, Accommodation, Restaurants",2020,Number,3810.21456,206
Bedford Park,"Hospitality, Accommodation, Restaurants",2020,Number,8334,207
Riverdale,"Hospitality, Accommodation, Restaurants",2020,Number,4772,208
Unionport/Soundview,"Hospitality, Accommodation, Restaurants",2020,Number,8633,209
Throgs Neck,"Hospitality, Accommodation, Restaurants",2020,Number,4924,210
Pelham Parkway,"Hospitality, Accommodation, Restaurants",2020,Number,5287,211
Williamsbridge,"Hospitality, Accommodation, Restaurants",2020,Number,5313,212
Williamsburg/Greenpoint,"Hospitality, Accommodation, Restaurants",2020,Number,10002,301
Fort Greene/Brooklyn Hts,"Hospitality, Accommodation, Restaurants",2020,Number,6720,302
Bedford Stuyvesant,"Hospitality, Accommodation, Restaurants",2020,Number,8237,303
Bushwick,"Hospitality, Accommodation, Restaurants",2020,Number,10712,304
East New York,"Hospitality, Accommodation, Restaurants",2020,Number,5359,305
Park Slope,"Hospitality, Accommodation, Restaurants",2020,Number,6008,306
Sunset Park,"Hospitality, Accommodation, Restaurants",2020,Number,12471,307
Crown Heights North,"Hospitality, Accommodation, Restaurants",2020,Number,7183,308
Crown Heights South,"Hospitality, Accommodation, Restaurants",2020,Number,5017,309
Bay Ridge,"Hospitality, Accommodation, Restaurants",2020,Number,5674,310
Bensonhurst,"Hospitality, Accommodation, Restaurants",2020,Number,9280,311
Borough Park,"Hospitality, Accommodation, Restaurants",2020,Number,4880,312
Coney Island,"Hospitality, Accommodation, Restaurants",2020,Number,2972,313
Flatbush/Midwood,"Hospitality, Accommodation, Restaurants",2020,Number,6724,314
Sheepshead Bay,"Hospitality, Accommodation, Restaurants",2020,Number,4756,315
Brownsville,"Hospitality, Accommodation, Restaurants",2020,Number,3727,316
East Flatbush,"Hospitality, Accommodation, Restaurants",2020,Number,3952,317
Canarsie,"Hospitality, Accommodation, Restaurants",2020,Number,5329,318
Astoria,"Hospitality, Accommodation, Restaurants",2020,Number,13802,401
Sunnyside/Woodside,"Hospitality, Accommodation, Restaurants",2020,Number,10658,402
Jackson Heights,"Hospitality, Accommodation, Restaurants",2020,Number,14654,403
Elmhurst/Corona,"Hospitality, Accommodation, Restaurants",2020,Number,13757,404
Ridgewood/Glendale,"Hospitality, Accommodation, Restaurants",2020,Number,10765,405
Rego Park/Forest Hills,"Hospitality, Accommodation, Restaurants",2020,Number,4066,406
Flushing,"Hospitality, Accommodation, Restaurants",2020,Number,14606,407
Fresh Meadows/Briarwood,"Hospitality, Accommodation, Restaurants",2020,Number,6309,408
Woodhaven,"Hospitality, Accommodation, Restaurants",2020,Number,7413,409
Howard Beach,"Hospitality, Accommodation, Restaurants",2020,Number,4519,410
Bayside,"Hospitality, Accommodation, Restaurants",2020,Number,4264,411
Jamaica/St. Albans,"Hospitality, Accommodation, Restaurants",2020,Number,8981,412
Queens Village,"Hospitality, Accommodation, Restaurants",2020,Number,6631,413
The Rockaways,"Hospitality, Accommodation, Restaurants",2020,Number,3645,414
St. George,"Hospitality, Accommodation, Restaurants",2020,Number,6529,501
South Beach,"Hospitality, Accommodation, Restaurants",2020,Number,4692,502
Tottenville,"Hospitality, Accommodation, Restaurants",2020,Number,3735,503
Bronx,"Hospitality, Accommodation, Restaurants",2020,Number,66863,36005
Brooklyn,"Hospitality, Accommodation, Restaurants",2020,Number,119003,36047
Manhattan,"Hospitality, Accommodation, Restaurants",2020,Number,88606,36061
Queens,"Hospitality, Accommodation, Restaurants",2020,Number,124050,36081
Staten Island,"Hospitality, Accommodation, Restaurants",2020,Number,14956,36085
New York City,"Hospitality, Accommodation, Restaurants",2020,Number,413478,3651000
Battery Park/Tribeca,"Hospitality, Accommodation, Restaurants",2020,Percent,0.07997,101
Greenwich Village,"Hospitality, Accommodation, Restaurants",2020,Percent,0.07997,102
Lower East Side,"Hospitality, Accommodation, Restaurants",2020,Percent,0.12627,103
Chelsea/Clinton,"Hospitality, Accommodation, Restaurants",2020,Percent,0.08617,104
Midtown Business District,"Hospitality, Accommodation, Restaurants",2020,Percent,0.08617,105
Murray Hill/Stuyvesant,"Hospitality, Accommodation, Restaurants",2020,Percent,0.05854,106
Upper West Side,"Hospitality, Accommodation, Restaurants",2020,Percent,0.08941,107
Upper East Side,"Hospitality, Accommodation, Restaurants",2020,Percent,0.05273,108
Manhattanville,"Hospitality, Accommodation, Restaurants",2020,Percent,0.14937,109
Central Harlem,"Hospitality, Accommodation, Restaurants",2020,Percent,0.11924,110
East Harlem,"Hospitality, Accommodation, Restaurants",2020,Percent,0.13714,111
Washington Heights,"Hospitality, Accommodation, Restaurants",2020,Percent,0.14847,112
Mott Haven,"Hospitality, Accommodation, Restaurants",2020,Percent,0.1246,201
Hunts Point,"Hospitality, Accommodation, Restaurants",2020,Percent,0.1246,202
Morrisania,"Hospitality, Accommodation, Restaurants",2020,Percent,0.11711,203
Concourse/Highbridge,"Hospitality, Accommodation, Restaurants",2020,Percent,0.12986,204
University Heights,"Hospitality, Accommodation, Restaurants",2020,Percent,0.15103,205
East Tremont,"Hospitality, Accommodation, Restaurants",2020,Percent,0.11711,206
Bedford Park,"Hospitality, Accommodation, Restaurants",2020,Percent,0.14387,207
Riverdale,"Hospitality, Accommodation, Restaurants",2020,Percent,0.09582,208
Unionport/Soundview,"Hospitality, Accommodation, Restaurants",2020,Percent,0.11425,209
Throgs Neck,"Hospitality, Accommodation, Restaurants",2020,Percent,0.08949,210
Pelham Parkway,"Hospitality, Accommodation, Restaurants",2020,Percent,0.09344,211
Williamsbridge,"Hospitality, Accommodation, Restaurants",2020,Percent,0.07754,212
Williamsburg/Greenpoint,"Hospitality, Accommodation, Restaurants",2020,Percent,0.11323,301
Fort Greene/Brooklyn Hts,"Hospitality, Accommodation, Restaurants",2020,Percent,0.08368,302
Bedford Stuyvesant,"Hospitality, Accommodation, Restaurants",2020,Percent,0.11706,303
Bushwick,"Hospitality, Accommodation, Restaurants",2020,Percent,0.15847,304
East New York,"Hospitality, Accommodation, Restaurants",2020,Percent,0.08414,305
Park Slope,"Hospitality, Accommodation, Restaurants",2020,Percent,0.08852,306
Sunset Park,"Hospitality, Accommodation, Restaurants",2020,Percent,0.18464,307
Crown Heights North,"Hospitality, Accommodation, Restaurants",2020,Percent,0.10096,308
Crown Heights South,"Hospitality, Accommodation, Restaurants",2020,Percent,0.09246,309
Bay Ridge,"Hospitality, Accommodation, Restaurants",2020,Percent,0.09587,310
Bensonhurst,"Hospitality, Accommodation, Restaurants",2020,Percent,0.10809,311
Borough Park,"Hospitality, Accommodation, Restaurants",2020,Percent,0.08637,312
Coney Island,"Hospitality, Accommodation, Restaurants",2020,Percent,0.06895,313
Flatbush/Midwood,"Hospitality, Accommodation, Restaurants",2020,Percent,0.09023,314
Sheepshead Bay,"Hospitality, Accommodation, Restaurants",2020,Percent,0.07112,315
Brownsville,"Hospitality, Accommodation, Restaurants",2020,Percent,0.08629,316
East Flatbush,"Hospitality, Accommodation, Restaurants",2020,Percent,0.0623,317
Canarsie,"Hospitality, Accommodation, Restaurants",2020,Percent,0.05718,318
Astoria,"Hospitality, Accommodation, Restaurants",2020,Percent,0.14761,401
Sunnyside/Woodside,"Hospitality, Accommodation, Restaurants",2020,Percent,0.13794,402
Jackson Heights,"Hospitality, Accommodation, Restaurants",2020,Percent,0.17541,403
Elmhurst/Corona,"Hospitality, Accommodation, Restaurants",2020,Percent,0.19678,404
Ridgewood/Glendale,"Hospitality, Accommodation, Restaurants",2020,Percent,0.11374,405
Rego Park/Forest Hills,"Hospitality, Accommodation, Restaurants",2020,Percent,0.06772,406
Flushing,"Hospitality, Accommodation, Restaurants",2020,Percent,0.13107,407
Fresh Meadows/Briarwood,"Hospitality, Accommodation, Restaurants",2020,Percent,0.08285,408
Woodhaven,"Hospitality, Accommodation, Restaurants",2020,Percent,0.10513,409
Howard Beach,"Hospitality, Accommodation, Restaurants",2020,Percent,0.07367,410
Bayside,"Hospitality, Accommodation, Restaurants",2020,Percent,0.07398,411
Jamaica/St. Albans,"Hospitality, Accommodation, Restaurants",2020,Percent,0.07949,412
Queens Village,"Hospitality, Accommodation, Restaurants",2020,Percent,0.06703,413
The Rockaways,"Hospitality, Accommodation, Restaurants",2020,Percent,0.06919,414
St. George,"Hospitality, Accommodation, Restaurants",2020,Percent,0.08347,501
South Beach,"Hospitality, Accommodation, Restaurants",2020,Percent,0.07651,502
Tottenville,"Hospitality, Accommodation, Restaurants",2020,Percent,0.04797,503
Bronx,"Hospitality, Accommodation, Restaurants",2020,Percent,0.11312,36005
Brooklyn,"Hospitality, Accommodation, Restaurants",2020,Percent,0.09779,36047
Manhattan,"Hospitality, Accommodation, Restaurants",2020,Percent,0.09909,36061
Queens,"Hospitality, Accommodation, Restaurants",2020,Percent,0.11072,36081
Staten Island,"Hospitality, Accommodation, Restaurants",2020,Percent,0.06879,36085
New York City,"Hospitality, Accommodation, Restaurants",2020,Percent,0.10235,3651000
Battery Park/Tribeca,"Information, Finance, Real Estate",2020,Number,13065.96429,101
Greenwich Village,"Information, Finance, Real Estate",2020,Number,19288.03571,102
Lower East Side,"Information, Finance, Real Estate",2020,Number,13809,103
Chelsea/Clinton,"Information, Finance, Real Estate",2020,Number,20102.77811,104
Midtown Business District,"Information, Finance, Real Estate",2020,Number,10061.22189,105
Murray Hill/Stuyvesant,"Information, Finance, Real Estate",2020,Number,27968,106
Upper West Side,"Information, Finance, Real Estate",2020,Number,26064,107
Upper East Side,"Information, Finance, Real Estate",2020,Number,33879,108
Manhattanville,"Information, Finance, Real Estate",2020,Number,7722,109
Central Harlem,"Information, Finance, Real Estate",2020,Number,9180,110
East Harlem,"Information, Finance, Real Estate",2020,Number,6006,111
Washington Heights,"Information, Finance, Real Estate",2020,Number,11303,112
Mott Haven,"Information, Finance, Real Estate",2020,Number,2541.67174,201
Hunts Point,"Information, Finance, Real Estate",2020,Number,1451.32826,202
Morrisania,"Information, Finance, Real Estate",2020,Number,2518.15625,203
Concourse/Highbridge,"Information, Finance, Real Estate",2020,Number,3307,204
University Heights,"Information, Finance, Real Estate",2020,Number,3961,205
East Tremont,"Information, Finance, Real Estate",2020,Number,2628.84375,206
Bedford Park,"Information, Finance, Real Estate",2020,Number,4207,207
Riverdale,"Information, Finance, Real Estate",2020,Number,6521,208
Unionport/Soundview,"Information, Finance, Real Estate",2020,Number,5202,209
Throgs Neck,"Information, Finance, Real Estate",2020,Number,5414,210
Pelham Parkway,"Information, Finance, Real Estate",2020,Number,4528,211
Williamsbridge,"Information, Finance, Real Estate",2020,Number,4872,212
Williamsburg/Greenpoint,"Information, Finance, Real Estate",2020,Number,16035,301
Fort Greene/Brooklyn Hts,"Information, Finance, Real Estate",2020,Number,16413,302
Bedford Stuyvesant,"Information, Finance, Real Estate",2020,Number,8639,303
Bushwick,"Information, Finance, Real Estate",2020,Number,7984,304
East New York,"Information, Finance, Real Estate",2020,Number,3981,305
Park Slope,"Information, Finance, Real Estate",2020,Number,14043,306
Sunset Park,"Information, Finance, Real Estate",2020,Number,6256,307
Crown Heights North,"Information, Finance, Real Estate",2020,Number,10661,308
Crown Heights South,"Information, Finance, Real Estate",2020,Number,6399,309
Bay Ridge,"Information, Finance, Real Estate",2020,Number,8001,310
Bensonhurst,"Information, Finance, Real Estate",2020,Number,8041,311
Borough Park,"Information, Finance, Real Estate",2020,Number,5889,312
Coney Island,"Information, Finance, Real Estate",2020,Number,4864,313
Flatbush/Midwood,"Information, Finance, Real Estate",2020,Number,8324,314
Sheepshead Bay,"Information, Finance, Real Estate",2020,Number,7551,315
Brownsville,"Information, Finance, Real Estate",2020,Number,3406,316
East Flatbush,"Information, Finance, Real Estate",2020,Number,5448,317
Canarsie,"Information, Finance, Real Estate",2020,Number,8130,318
Astoria,"Information, Finance, Real Estate",2020,Number,14845,401
Sunnyside/Woodside,"Information, Finance, Real Estate",2020,Number,10326,402
Jackson Heights,"Information, Finance, Real Estate",2020,Number,5703,403
Elmhurst/Corona,"Information, Finance, Real Estate",2020,Number,4859,404
Ridgewood/Glendale,"Information, Finance, Real Estate",2020,Number,9419,405
Rego Park/Forest Hills,"Information, Finance, Real Estate",2020,Number,9810,406
Flushing,"Information, Finance, Real Estate",2020,Number,11363,407
Fresh Meadows/Briarwood,"Information, Finance, Real Estate",2020,Number,7519,408
Woodhaven,"Information, Finance, Real Estate",2020,Number,6155,409
Howard Beach,"Information, Finance, Real Estate",2020,Number,6402,410
Bayside,"Information, Finance, Real Estate",2020,Number,8256,411
Jamaica/St. Albans,"Information, Finance, Real Estate",2020,Number,8993,412
Queens Village,"Information, Finance, Real Estate",2020,Number,8139,413
The Rockaways,"Information, Finance, Real Estate",2020,Number,3998,414
St. George,"Information, Finance, Real Estate",2020,Number,8351,501
South Beach,"Information, Finance, Real Estate",2020,Number,7259,502
Tottenville,"Information, Finance, Real Estate",2020,Number,9522,503
Bronx,"Information, Finance, Real Estate",2020,Number,47152,36005
Brooklyn,"Information, Finance, Real Estate",2020,Number,150065,36047
Manhattan,"Information, Finance, Real Estate",2020,Number,198449,36061
Queens,"Information, Finance, Real Estate",2020,Number,115763,36081
Staten Island,"Information, Finance, Real Estate",2020,Number,25132,36085
New York City,"Information, Finance, Real Estate",2020,Number,536561,3651000
Battery Park/Tribeca,"Information, Finance, Real Estate",2020,Percent,0.32406,101
Greenwich Village,"Information, Finance, Real Estate",2020,Percent,0.32406,102
Lower East Side,"Information, Finance, Real Estate",2020,Percent,0.18678,103
Chelsea/Clinton,"Information, Finance, Real Estate",2020,Percent,0.28926,104
Midtown Business District,"Information, Finance, Real Estate",2020,Percent,0.28926,105
Murray Hill/Stuyvesant,"Information, Finance, Real Estate",2020,Percent,0.29924,106
Upper West Side,"Information, Finance, Real Estate",2020,Percent,0.23717,107
Upper East Side,"Information, Finance, Real Estate",2020,Percent,0.27339,108
Manhattanville,"Information, Finance, Real Estate",2020,Percent,0.11734,109
Central Harlem,"Information, Finance, Real Estate",2020,Percent,0.13851,110
East Harlem,"Information, Finance, Real Estate",2020,Percent,0.12695,111
Washington Heights,"Information, Finance, Real Estate",2020,Percent,0.10328,112
Mott Haven,"Information, Finance, Real Estate",2020,Percent,0.0736,201
Hunts Point,"Information, Finance, Real Estate",2020,Percent,0.0736,202
Morrisania,"Information, Finance, Real Estate",2020,Percent,0.0808,203
Concourse/Highbridge,"Information, Finance, Real Estate",2020,Percent,0.05887,204
University Heights,"Information, Finance, Real Estate",2020,Percent,0.07399,205
East Tremont,"Information, Finance, Real Estate",2020,Percent,0.0808,206
Bedford Park,"Information, Finance, Real Estate",2020,Percent,0.07262,207
Riverdale,"Information, Finance, Real Estate",2020,Percent,0.13094,208
Unionport/Soundview,"Information, Finance, Real Estate",2020,Percent,0.06884,209
Throgs Neck,"Information, Finance, Real Estate",2020,Percent,0.09839,210
Pelham Parkway,"Information, Finance, Real Estate",2020,Percent,0.08002,211
Williamsbridge,"Information, Finance, Real Estate",2020,Percent,0.0711,212
Williamsburg/Greenpoint,"Information, Finance, Real Estate",2020,Percent,0.18153,301
Fort Greene/Brooklyn Hts,"Information, Finance, Real Estate",2020,Percent,0.20438,302
Bedford Stuyvesant,"Information, Finance, Real Estate",2020,Percent,0.12278,303
Bushwick,"Information, Finance, Real Estate",2020,Percent,0.11811,304
East New York,"Information, Finance, Real Estate",2020,Percent,0.0625,305
Park Slope,"Information, Finance, Real Estate",2020,Percent,0.2069,306
Sunset Park,"Information, Finance, Real Estate",2020,Percent,0.09262,307
Crown Heights North,"Information, Finance, Real Estate",2020,Percent,0.14985,308
Crown Heights South,"Information, Finance, Real Estate",2020,Percent,0.11793,309
Bay Ridge,"Information, Finance, Real Estate",2020,Percent,0.13518,310
Bensonhurst,"Information, Finance, Real Estate",2020,Percent,0.09366,311
Borough Park,"Information, Finance, Real Estate",2020,Percent,0.10423,312
Coney Island,"Information, Finance, Real Estate",2020,Percent,0.11285,313
Flatbush/Midwood,"Information, Finance, Real Estate",2020,Percent,0.1117,314
Sheepshead Bay,"Information, Finance, Real Estate",2020,Percent,0.11291,315
Brownsville,"Information, Finance, Real Estate",2020,Percent,0.07885,316
East Flatbush,"Information, Finance, Real Estate",2020,Percent,0.08588,317
Canarsie,"Information, Finance, Real Estate",2020,Percent,0.08724,318
Astoria,"Information, Finance, Real Estate",2020,Percent,0.15877,401
Sunnyside/Woodside,"Information, Finance, Real Estate",2020,Percent,0.13364,402
Jackson Heights,"Information, Finance, Real Estate",2020,Percent,0.06827,403
Elmhurst/Corona,"Information, Finance, Real Estate",2020,Percent,0.0695,404
Ridgewood/Glendale,"Information, Finance, Real Estate",2020,Percent,0.09952,405
Rego Park/Forest Hills,"Information, Finance, Real Estate",2020,Percent,0.16338,406
Flushing,"Information, Finance, Real Estate",2020,Percent,0.10197,407
Fresh Meadows/Briarwood,"Information, Finance, Real Estate",2020,Percent,0.09874,408
Woodhaven,"Information, Finance, Real Estate",2020,Percent,0.08729,409
Howard Beach,"Information, Finance, Real Estate",2020,Percent,0.10437,410
Bayside,"Information, Finance, Real Estate",2020,Percent,0.14323,411
Jamaica/St. Albans,"Information, Finance, Real Estate",2020,Percent,0.07959,412
Queens Village,"Information, Finance, Real Estate",2020,Percent,0.08227,413
The Rockaways,"Information, Finance, Real Estate",2020,Percent,0.07589,414
St. George,"Information, Finance, Real Estate",2020,Percent,0.10676,501
South Beach,"Information, Finance, Real Estate",2020,Percent,0.11837,502
Tottenville,"Information, Finance, Real Estate",2020,Percent,0.1223,503
Bronx,"Information, Finance, Real Estate",2020,Percent,0.07977,36005
Brooklyn,"Information, Finance, Real Estate",2020,Percent,0.12331,36047
Manhattan,"Information, Finance, Real Estate",2020,Percent,0.22194,36061
Queens,"Information, Finance, Real Estate",2020,Percent,0.10333,36081
Staten Island,"Information, Finance, Real Estate",2020,Percent,0.1156,36085
New York City,"Information, Finance, Real Estate",2020,Percent,0.13281,3651000
Battery Park/Tribeca,Management and Professional Services,2020,Number,10234.61498,101
Greenwich Village,Management and Professional Services,2020,Number,15108.38502,102
Lower East Side,Management and Professional Services,2020,Number,17148,103
Chelsea/Clinton,Management and Professional Services,2020,Number,18561.94722,104
Midtown Business District,Management and Professional Services,2020,Number,9290.05278,105
Murray Hill/Stuyvesant,Management and Professional Services,2020,Number,24368,106
Upper West Side,Management and Professional Services,2020,Number,27503,107
Upper East Side,Management and Professional Services,2020,Number,27092,108
Manhattanville,Management and Professional Services,2020,Number,9360,109
Central Harlem,Management and Professional Services,2020,Number,9176,110
East Harlem,Management and Professional Services,2020,Number,6586,111
Washington Heights,Management and Professional Services,2020,Number,13052,112
Mott Haven,Management and Professional Services,2020,Number,3521.93081,201
Hunts Point,Management and Professional Services,2020,Number,2011.06919,202
Morrisania,Management and Professional Services,2020,Number,2648.29606,203
Concourse/Highbridge,Management and Professional Services,2020,Number,6347,204
University Heights,Management and Professional Services,2020,Number,4376,205
East Tremont,Management and Professional Services,2020,Number,2764.70394,206
Bedford Park,Management and Professional Services,2020,Number,5177,207
Riverdale,Management and Professional Services,2020,Number,5554,208
Unionport/Soundview,Management and Professional Services,2020,Number,6498,209
Throgs Neck,Management and Professional Services,2020,Number,4940,210
Pelham Parkway,Management and Professional Services,2020,Number,5398,211
Williamsbridge,Management and Professional Services,2020,Number,5978,212
Williamsburg/Greenpoint,Management and Professional Services,2020,Number,21183,301
Fort Greene/Brooklyn Hts,Management and Professional Services,2020,Number,20294,302
Bedford Stuyvesant,Management and Professional Services,2020,Number,10573,303
Bushwick,Management and Professional Services,2020,Number,10687,304
East New York,Management and Professional Services,2020,Number,6378,305
Park Slope,Management and Professional Services,2020,Number,17481,306
Sunset Park,Management and Professional Services,2020,Number,8440,307
Crown Heights North,Management and Professional Services,2020,Number,12514,308
Crown Heights South,Management and Professional Services,2020,Number,7100,309
Bay Ridge,Management and Professional Services,2020,Number,7507,310
Bensonhurst,Management and Professional Services,2020,Number,8318,311
Borough Park,Management and Professional Services,2020,Number,6232,312
Coney Island,Management and Professional Services,2020,Number,4154,313
Flatbush/Midwood,Management and Professional Services,2020,Number,8756,314
Sheepshead Bay,Management and Professional Services,2020,Number,6748,315
Brownsville,Management and Professional Services,2020,Number,4249,316
East Flatbush,Management and Professional Services,2020,Number,6162,317
Canarsie,Management and Professional Services,2020,Number,8281,318
Astoria,Management and Professional Services,2020,Number,16492,401
Sunnyside/Woodside,Management and Professional Services,2020,Number,12947,402
Jackson Heights,Management and Professional Services,2020,Number,9352,403
Elmhurst/Corona,Management and Professional Services,2020,Number,6908,404
Ridgewood/Glendale,Management and Professional Services,2020,Number,10883,405
Rego Park/Forest Hills,Management and Professional Services,2020,Number,11000,406
Flushing,Management and Professional Services,2020,Number,11483,407
Fresh Meadows/Briarwood,Management and Professional Services,2020,Number,7390,408
Woodhaven,Management and Professional Services,2020,Number,7638,409
Howard Beach,Management and Professional Services,2020,Number,6248,410
Bayside,Management and Professional Services,2020,Number,6970,411
Jamaica/St. Albans,Management and Professional Services,2020,Number,9007,412
Queens Village,Management and Professional Services,2020,Number,8387,413
The Rockaways,Management and Professional Services,2020,Number,5241,414
St. George,Management and Professional Services,2020,Number,8399,501
South Beach,Management and Professional Services,2020,Number,7182,502
Tottenville,Management and Professional Services,2020,Number,8610,503
Bronx,Management and Professional Services,2020,Number,55214,36005
Brooklyn,Management and Professional Services,2020,Number,175057,36047
Manhattan,Management and Professional Services,2020,Number,187480,36061
Queens,Management and Professional Services,2020,Number,129917,36081
Staten Island,Management and Professional Services,2020,Number,24191,36085
New York City,Management and Professional Services,2020,Number,571859,3651000
Battery Park/Tribeca,Management and Professional Services,2020,Percent,0.25384,101
Greenwich Village,Management and Professional Services,2020,Percent,0.25384,102
Lower East Side,Management and Professional Services,2020,Percent,0.23195,103
Chelsea/Clinton,Management and Professional Services,2020,Percent,0.26709,104
Midtown Business District,Management and Professional Services,2020,Percent,0.26709,105
Murray Hill/Stuyvesant,Management and Professional Services,2020,Percent,0.26072,106
Upper West Side,Management and Professional Services,2020,Percent,0.25026,107
Upper East Side,Management and Professional Services,2020,Percent,0.21862,108
Manhattanville,Management and Professional Services,2020,Percent,0.14223,109
Central Harlem,Management and Professional Services,2020,Percent,0.13845,110
East Harlem,Management and Professional Services,2020,Percent,0.13921,111
Washington Heights,Management and Professional Services,2020,Percent,0.11926,112
Mott Haven,Management and Professional Services,2020,Percent,0.10199,201
Hunts Point,Management and Professional Services,2020,Percent,0.10199,202
Morrisania,Management and Professional Services,2020,Percent,0.08497,203
Concourse/Highbridge,Management and Professional Services,2020,Percent,0.11299,204
University Heights,Management and Professional Services,2020,Percent,0.08175,205
East Tremont,Management and Professional Services,2020,Percent,0.08497,206
Bedford Park,Management and Professional Services,2020,Percent,0.08937,207
Riverdale,Management and Professional Services,2020,Percent,0.11152,208
Unionport/Soundview,Management and Professional Services,2020,Percent,0.08599,209
Throgs Neck,Management and Professional Services,2020,Percent,0.08978,210
Pelham Parkway,Management and Professional Services,2020,Percent,0.0954,211
Williamsbridge,Management and Professional Services,2020,Percent,0.08724,212
Williamsburg/Greenpoint,Management and Professional Services,2020,Percent,0.23981,301
Fort Greene/Brooklyn Hts,Management and Professional Services,2020,Percent,0.2527,302
Bedford Stuyvesant,Management and Professional Services,2020,Percent,0.15026,303
Bushwick,Management and Professional Services,2020,Percent,0.1581,304
East New York,Management and Professional Services,2020,Percent,0.10014,305
Park Slope,Management and Professional Services,2020,Percent,0.25756,306
Sunset Park,Management and Professional Services,2020,Percent,0.12496,307
Crown Heights North,Management and Professional Services,2020,Percent,0.1759,308
Crown Heights South,Management and Professional Services,2020,Percent,0.13085,309
Bay Ridge,Management and Professional Services,2020,Percent,0.12684,310
Bensonhurst,Management and Professional Services,2020,Percent,0.09688,311
Borough Park,Management and Professional Services,2020,Percent,0.1103,312
Coney Island,Management and Professional Services,2020,Percent,0.09637,313
Flatbush/Midwood,Management and Professional Services,2020,Percent,0.11749,314
Sheepshead Bay,Management and Professional Services,2020,Percent,0.1009,315
Brownsville,Management and Professional Services,2020,Percent,0.09837,316
East Flatbush,Management and Professional Services,2020,Percent,0.09713,317
Canarsie,Management and Professional Services,2020,Percent,0.08886,318
Astoria,Management and Professional Services,2020,Percent,0.17639,401
Sunnyside/Woodside,Management and Professional Services,2020,Percent,0.16757,402
Jackson Heights,Management and Professional Services,2020,Percent,0.11194,403
Elmhurst/Corona,Management and Professional Services,2020,Percent,0.09881,404
Ridgewood/Glendale,Management and Professional Services,2020,Percent,0.11499,405
Rego Park/Forest Hills,Management and Professional Services,2020,Percent,0.1832,406
Flushing,Management and Professional Services,2020,Percent,0.10304,407
Fresh Meadows/Briarwood,Management and Professional Services,2020,Percent,0.09704,408
Woodhaven,Management and Professional Services,2020,Percent,0.10832,409
Howard Beach,Management and Professional Services,2020,Percent,0.10186,410
Bayside,Management and Professional Services,2020,Percent,0.12092,411
Jamaica/St. Albans,Management and Professional Services,2020,Percent,0.07972,412
Queens Village,Management and Professional Services,2020,Percent,0.08478,413
The Rockaways,Management and Professional Services,2020,Percent,0.09949,414
St. George,Management and Professional Services,2020,Percent,0.10738,501
South Beach,Management and Professional Services,2020,Percent,0.11711,502
Tottenville,Management and Professional Services,2020,Percent,0.11059,503
Bronx,Management and Professional Services,2020,Percent,0.09341,36005
Brooklyn,Management and Professional Services,2020,Percent,0.14385,36047
Manhattan,Management and Professional Services,2020,Percent,0.20967,36061
Queens,Management and Professional Services,2020,Percent,0.11596,36081
Staten Island,Management and Professional Services,2020,Percent,0.11127,36085
New York City,Management and Professional Services,2020,Percent,0.14155,3651000
Battery Park/Tribeca,Other Services,2020,Number,1167.5126,101
Greenwich Village,Other Services,2020,Number,1723.4874,102
Lower East Side,Other Services,2020,Number,3154,103
Chelsea/Clinton,Other Services,2020,Number,2301.2496,104
Midtown Business District,Other Services,2020,Number,1151.7504,105
Murray Hill/Stuyvesant,Other Services,2020,Number,2855,106
Upper West Side,Other Services,2020,Number,3835,107
Upper East Side,Other Services,2020,Number,5325,108
Manhattanville,Other Services,2020,Number,4226,109
Central Harlem,Other Services,2020,Number,3581,110
East Harlem,Other Services,2020,Number,2075,111
Washington Heights,Other Services,2020,Number,6987,112
Mott Haven,Other Services,2020,Number,1790.56414,201
Hunts Point,Other Services,2020,Number,1022.43586,202
Morrisania,Other Services,2020,Number,1853.26907,203
Concourse/Highbridge,Other Services,2020,Number,3245,204
University Heights,Other Services,2020,Number,2970,205
East Tremont,Other Services,2020,Number,1934.73093,206
Bedford Park,Other Services,2020,Number,4039,207
Riverdale,Other Services,2020,Number,2626,208
Unionport/Soundview,Other Services,2020,Number,3369,209
Throgs Neck,Other Services,2020,Number,1692,210
Pelham Parkway,Other Services,2020,Number,2779,211
Williamsbridge,Other Services,2020,Number,3741,212
Williamsburg/Greenpoint,Other Services,2020,Number,3648,301
Fort Greene/Brooklyn Hts,Other Services,2020,Number,3280,302
Bedford Stuyvesant,Other Services,2020,Number,3004,303
Bushwick,Other Services,2020,Number,3534,304
East New York,Other Services,2020,Number,3838,305
